State_x,County_x,Obesity_Rate,FIPS,State_y,County_y,fast_food_density
MI,Isabella,38.5,26073,MI,Isabella,0.633057117
MN,Sherburne,37.7,27141,MN,Sherburne,0.425053895
MA,Norfolk,27.0,25021,MA,Norfolk,0.69917351
MI,Clinton,35.9,26037,MI,Clinton,0.589319527
MN,Kanabec,37.8,27065,MN,Kanabec,0.243664712
MI,Iosco,38.2,26069,MI,Iosco,0.636435986
MI,Eaton,34.9,26045,MI,Eaton,0.808003783
MI,Van Buren,39.5,26159,MI,Van Buren,0.62273103
MI,Mecosta,33.4,26107,MI,Mecosta,0.501059055
MN,Scott,33.6,27139,MN,Scott,0.557439506
MN,Kandiyohi,36.6,27067,MN,Kandiyohi,0.626014352
MN,Redwood,39.0,27127,MN,Redwood,0.397904366
MI,Alpena,38.7,26007,MI,Alpena,0.672852159
MA,Middlesex,22.1,25017,MA,Middlesex,0.814599931
MN,Chippewa,41.6,27023,MN,Chippewa,0.595339358
MI,Montcalm,39.2,26117,MI,Montcalm,0.378095657
MI,Muskegon,43.0,26121,MI,Muskegon,0.695870221
MI,Otsego,34.4,26137,MI,Otsego,0.767211795
MD,Cecil,37.6,24015,MD,Cecil,0.609172404
MI,Alger,34.7,26003,MI,Alger,0.998336077
MN,Hennepin,27.4,27053,MN,Hennepin,0.824655771
MN,Rock,37.8,27133,MN,Rock,0.645091951
MD,Kent,38.9,24029,MD,Kent,0.729470611
MN,Polk,38.8,27119,MN,Polk,0.485436887
MN,Beltrami,41.1,27007,MN,Beltrami,0.590194345
MN,Koochiching,36.9,27071,MN,Koochiching,0.580479324
MI,Midland,31.1,26111,MI,Midland,0.707086444
MS,Alcorn,42.4,28003,MS,Alcorn,0.840358913
MN,Douglas,38.6,27041,MN,Douglas,0.626174092
MA,Plymouth,30.2,25023,MA,Plymouth,0.612901866
MI,Oceana,37.9,26127,MI,Oceana,0.335582972
MD,Dorchester,41.8,24019,MD,Dorchester,0.753461242
MI,Huron,38.8,26063,MI,Huron,0.717711151
MD,Caroline,38.6,24011,MD,Caroline,0.507583916
MN,Lake,34.7,27075,MN,Lake,0.751950383
MI,Hillsdale,36.8,26059,MI,Hillsdale,0.481843263
MI,Ogemaw,38.3,26129,MI,Ogemaw,0.621325791
MN,Becker,39.3,27005,MN,Becker,0.522405386
MI,Shiawassee,36.1,26155,MI,Shiawassee,0.664324284
MN,Itasca,34.6,27061,MN,Itasca,0.309269249
MI,Grand Traverse,30.8,26055,MI,Grand Traverse,1.047098041
MI,Kalamazoo,35.7,26077,MI,Kalamazoo,0.785749733
MN,Anoka,35.9,27003,MN,Anoka,0.59735328
MN,Blue Earth,42.1,27013,MN,Blue Earth,0.908544719
MI,Delta,35.6,26041,MI,Delta,0.702010572
MI,Presque Isle,35.9,26141,MI,Presque Isle,0.315831035
MI,Luce,39.0,26095,MI,Luce,0.489715964
MI,Roscommon,35.4,26143,MI,Roscommon,0.667055786
MN,Crow Wing,38.6,27035,MN,Crow Wing,0.639814734
MN,Pennington,30.5,27113,MN,Pennington,0.288309067
MN,Dodge,37.6,27039,MN,Dodge,0.333539814
MI,Arenac,38.3,26011,MI,Arenac,0.869390786
MA,Essex,30.8,25009,MA,Essex,0.750698566
MA,Bristol,33.0,25005,MA,Bristol,0.686351478
MD,Charles,42.9,24017,MD,Charles,0.778418362
MI,Antrim,34.8,26009,MI,Antrim,0.639686108
MI,Gratiot,35.6,26057,MI,Gratiot,0.595784843
MN,Cass,38.1,27021,MN,Cass,0.334135264
MS,Adams,43.6,28001,MS,Adams,0.891824961
MS,Amite,45.0,28005,MS,Amite,0.245800897
MN,Chisago,38.3,27025,MN,Chisago,0.457794845
MN,Cottonwood,39.3,27033,MN,Cottonwood,0.266856432
MN,Houston,38.4,27055,MN,Houston,0.268355519
MI,St. Joseph,37.4,26149,MI,St. Joseph,0.542334974
MI,Menominee,37.3,26109,MI,Menominee,0.530785561
MD,Howard,26.9,24027,MD,Howard,0.898842156
MN,McLeod,40.3,27085,MN,McLeod,0.644077301
MI,Dickinson,32.3,26043,MI,Dickinson,0.716788769
MN,Clay,35.1,27027,MN,Clay,0.602875233
MI,Schoolcraft,37.5,26153,MI,Schoolcraft,0.863770962
MD,Allegany,37.3,24001,MD,Allegany,0.799349129
MI,St. Clair,40.8,26147,MI,St. Clair,0.54616338
MI,Branch,39.6,26023,MI,Branch,0.529661
ME,Lincoln,31.8,23015,ME,Lincoln,0.718907237
ME,Penobscot,38.8,23019,ME,Penobscot,0.586858332
MA,Nantucket,28.3,25019,MA,Nantucket,1.58227849
MN,Wabasha,33.1,27157,MN,Wabasha,0.41585806
MI,Jackson,39.7,26075,MI,Jackson,0.599031329
MI,Gogebic,37.3,26053,MI,Gogebic,0.577951193
MD,St. Mary's,35.2,24037,MD,St. Mary's,0.758586407
MI,Ottawa,35.9,26139,MI,Ottawa,0.576985061
MN,Pope,38.1,27121,MN,Pope,0.354704261
MN,Watonwan,39.3,27165,MN,Watonwan,0.463306159
MN,Fillmore,37.2,27045,MN,Fillmore,0.61509347
MI,Newaygo,39.2,26123,MI,Newaygo,0.52687037
MI,Baraga,38.3,26013,MI,Baraga,0.857422829
